,Job Role,Company,Exp,CTC,Location
14,ACN - Applied Intelligence - Solutions.AI - Data Science - 06,Accenture,12-14 Yrs,Not disclosed,Bangalore/Bengaluru
15,Vice President - Data Science,Paytm,18-23 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru"
16,Data Science Consultant,Blue Yonder,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
17,Delivery Data Science,Microsoft,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
18,Manager - Data Science (Lifesciences),Spectral Consultants,10-15 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
19,Opening For Full time Data Science Faculty role,The Times Group,5-10 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)"
0,Data Science Lead,Sony,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science Lead,Sony Corporation of America,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
2,Oportun is hiring For Data Science Manager-Remote,Oportun ,8-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru"
3,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
4,Backend SDE II ( Data Science ),Sharechat,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
5,Data Science Business and Integration Practitioner,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,"Recruitment Specialist,  IT & Data Science or Quantitative Analytics",Solytics Partners Private Limited,2-7 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
7,Associate Data Science Consultant,AXA Business Services Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru
8,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru
9,Data Science Data Science Practitioner,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru
10,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
11,ACN - Applied Intelligence - Solutions.AI - Data Science - 06,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
12,"Manager, Data Science",Epsilon,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
13,MSSQL Data Science & R Analytics Programmer,Optidesk Solutions Private Limited,2-6 Yrs,Not disclosed,Bengaluru
14,Manager - Data Sciences,Walmart,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
15,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
16,Asst Manager - Data Science,CitiusTech,2-6 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"
17,Member Technical Staff(Data science),Vymo,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science Consultant,Blue Yonder,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
0,Principal Consultant - Data Science,D Cube Analytics,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
1,Lead - Data Science,ACT Fibernet,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science Lead,D Cube Analytics,10-12 Yrs,Not disclosed,Bengaluru
3,Data Science Trainer,Epsilon consultant,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
4,Analytics & Data Science,KPRO Solutions,9-14 Yrs,Not disclosed,Bengaluru
5,Machine Learning and Data Science Specialist,Nokia,8-13 Yrs,Not disclosed,Bangalore/Bengaluru
6,Product Lead - Data Science,Paytm,2-8 Yrs,Not disclosed,Bangalore/Bengaluru
